-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.026,  0.148
-183.800, 80.198, 0.023,  0.181
-183.800, 80.197, 0.025,  0.214
-183.799, 80.194, 0.118,  0.247
-183.796, 80.186, 0.248,  0.280
-183.791, 80.174, 0.344,  0.313
-183.784, 80.160, 0.429,  0.346
-183.773, 80.141, 0.595,  0.379
-183.758, 80.118, 0.705,  0.412
-183.739, 80.092, 0.830,  0.445
-183.717, 80.062, 0.960,  0.478
-183.691, 80.028, 1.093,  0.511
-183.661, 79.990, 1.244,  0.544
-183.628, 79.949, 1.384,  0.577
-183.590, 79.905, 1.500,  0.610
-183.550, 79.859, 1.586,  0.643
-183.506, 79.812, 1.644,  0.676
-183.461, 79.766, 1.680,  0.709
-183.414, 79.721, 1.698,  0.742
-183.366, 79.677, 1.719,  0.775
-183.318, 79.633, 1.742,  0.808
-183.269, 79.589, 1.759,  0.841
-183.220, 79.545, 1.769,  0.874
-183.171, 79.502, 1.772,  0.907
-183.123, 79.459, 1.768,  0.940
-183.075, 79.418, 1.757,  0.973
-183.028, 79.376, 1.743,  1.006
-182.981, 79.336, 1.724,  1.039
-182.935, 79.297, 1.705,  1.072
-182.890, 79.258, 1.686,  1.105
-182.845, 79.219, 1.669,  1.138
-182.801, 79.182, 1.654,  1.171
-182.758, 79.144, 1.643,  1.204
-182.715, 79.107, 1.635,  1.237
-182.672, 79.070, 1.631,  1.270
-182.631, 79.032, 1.631,  1.303
-182.589, 78.995, 1.634,  1.336
-182.548, 78.956, 1.640,  1.369
-182.508, 78.917, 1.649,  1.402
-182.469, 78.877, 1.659,  1.435
-182.431, 78.836, 1.669,  1.468
-182.394, 78.793, 1.677,  1.501
-182.359, 78.749, 1.681,  1.534
-182.326, 78.704, 1.679,  1.567
-182.295, 78.658, 1.672,  1.600
-182.266, 78.610, 1.661,  1.633
-182.240, 78.562, 1.646,  1.666
-182.216, 78.512, 1.630,  1.699
-182.194, 78.462, 1.615,  1.732
